"","X","r_stele","radius","CF","OneC","nX","X_size","aerenchyma","TCA","Accession","id","rep","kr1_new","kr2_new","kr3_new","Kr1","Kr2","Kr3","Kx"
"294",294,0.281530036869539,0.52654336086032,10.3,0.0237877013583283,9.29049121669478,0.098642687300857,0.022,0.623,"PI_620796",294,78,0.000159791351604804,6.10839014169895e-05,5.41036856500309e-05,0.000528648835379408,0.000202088116911274,0.000178994983904765,10.7855644688787
"295",295,0.267618617422916,0.524423246684198,10.6,0.0242268518171021,8.83141437495622,0.0874133698282769,0.017,0.639,"Ames_19467",295,79,0.000144066429825628,5.6011108056475e-05,5.01203542254987e-05,0.000474705864609771,0.000184559314129476,0.000165148994918252,6.13771690991709
"296",296,0.339452763722042,0.610264341769233,10.2,0.0265501547105089,11.2019412028274,0.0891984761276411,0.061,0.808,"Ames_19924",296,80,0.000153807751574304,6.14078997910343e-05,5.44899022157882e-05,0.000589761049515767,0.000235462693255896,0.000208936296057029,7.57551955964319
"297",297,0.370393791720668,0.678905527444083,11.8,0.0261450623494419,12.2229951267821,0.0951975707749892,0.0994,1.017,"Ames_19926",297,81,0.000139235025903481,5.74565251148925e-05,5.13462056226463e-05,0.000593933351131379,0.000245091680663085,0.000219026956582602,11.7189982702831
"298",298,0.316147598854887,0.589841254575232,11.2,0.0244369335464594,10.4328707622113,0.0841331486102343,0.0155,0.779,"PI_620801",298,82,0.000151770231768629,5.9460508994203e-05,5.28999318867496e-05,0.000562472909571482,0.000220365516404803,0.000196051480305004,5.59026289474199
"299",299,0.302775902642419,0.541445662255476,9.9,0.0241080565265714,9.99160478719983,0.0910110477063726,0.0074,0.633,"PI_620804",299,83,0.000163356618242556,6.28258286392458e-05,5.55130295231485e-05,0.000555739775528592,0.000213733684505698,0.000188855516831884,8.28113068325306
"300",300,0.229174892211877,0.437019372236832,9,0.0230938311138838,7.56277144299194,0.0860678411697205,0.0016,0.435,"Ames_19532",300,84,0.000164524325779249,6.10632044981798e-05,5.405283496518e-05,0.000451763018935708,0.000167671847183255,0.000148422257865184,5.41911276325009
"301",301,0.207296489682801,0.426700427580203,8.9,0.0246521278536407,6.84078415953244,0.0639901982745469,0.0125,0.437,"Ames_19540",301,85,0.000148486217898624,5.57445599019176e-05,4.98850312368698e-05,0.000398097171449627,0.000149453275426604,0.000133743657250618,0.977722814713751
"302",302,0.274082347369134,0.535237234845831,9.9,0.0263792815633028,9.04471746318142,0.0926664390228176,0.0116,0.664,"PI_628446",302,86,0.000145636207461044,5.72552980894616e-05,5.12129683878954e-05,0.000489773798165193,0.000192549265730206,0.000172228942787891,7.76385421043388
"303",303,0.27174968922639,0.506515318883975,9,0.026085069961954,8.96773974447086,0.0799318414430852,0.0965,0.574,"PI_629191",303,87,0.000154239715597871,6.02887483522569e-05,5.35248046133867e-05,0.000490872461846947,0.000191870726749135,0.000170344275523369,3.59842378421505
