"","X","r_stele","radius","CF","OneC","nX","X_size","aerenchyma","TCA","Accession","id","rep","Trt","Roottype"
"69",69,1.28582962972372,2.48183047336693,16,0.0907386578454792,23,0.215546830345692,0.060409657983036,44.473667794524,"PM","PM-DS-CR1-2.tif",69,"sheltered","CR1"
"70",70,0.466834471314332,0.898496284350982,11,0.0459122594906977,12,0.188347757089328,NA,5.81676139380314,"PM","PM-DS-CR3-2.tif",70,"sheltered","CR3"
"71",71,0.447042073128218,0.77891883490527,10,0.056232284300862,11,0.188996716372323,NA,4.0156255740127,"PM","PM-DS-CR3-3.tif",71,"sheltered","CR3"
"72",72,0.456483416695772,0.873974980739556,NA,NA,11,0.185007558720967,0.18503519360868,5.48212266450823,"PM","PM-DS-CR3-4.tif",72,"sheltered","CR3"
"73",73,0.464060736737803,0.767391189873204,10,0.0651266092687492,12,0.175284695570981,NA,3.68666114513584,"PM","PM-DS-CR3-5.tif",73,"sheltered","CR3"
"74",74,0.708775926172423,1.31437909813925,11,0.0618760624536949,19,0.152257241406908,0.114193855736192,12.0925265187269,"PM","PM-DS-CR3-6.tif",74,"sheltered","CR3"
"75",75,0.91427625583748,1.9615378539018,14,0.069054751239503,15,0.24337623649043,0.0926861356427516,29.724580507595,"PM","PM-DS-CR3-8.tif",75,"sheltered","CR3"
"76",76,0.401189075335483,0.873313129642933,8,0.0801451393457887,11,0.191936675445869,0.17382398240384,5.93876943208902,"PM","PM-DS-CR4-10.tif",76,"sheltered","CR4"
"77",77,0.375955911129406,0.879259459482571,9,0.0533156166289678,12,0.177170536218506,NA,6.23516551293482,"PM","PM-DS-CR4-11.tif",77,"sheltered","CR4"
"78",78,0.43303710461486,0.906721175742325,9,0.0498908064417737,11,0.201884848007618,0.120432754957385,6.26346962947579,"PM","PM-DS-CR4-12.tif",78,"sheltered","CR4"
"79",79,0.431792092944028,0.853516720974595,8,0.0796473363136319,12,0.199439588193294,0.10841967743652,5.34978335199534,"PM","PM-DS-CR4-13.tif",79,"sheltered","CR4"
"80",80,0.337880089076168,0.704377156351954,9,0.0616942598750967,13,0.187634376776849,0.137722824332025,3.77003317632712,"PM","PM-DS-CR4-2.tif",80,"sheltered","CR4"
"81",81,0.3900636938234,0.78804651015105,10,0.0690373033616991,13,0.180282918100017,0.126270827139365,4.62753789550258,"PM","PM-DS-CR4-3.tif",81,"sheltered","CR4"
"82",82,0.412823909619702,0.747890280826871,10,0.0699610356577755,13,0.204045196523495,0.142861810630916,3.83844994522043,"PM","PM-DS-CR4-4.tif",82,"sheltered","CR4"
"83",83,0.55861933971686,1.17865860703606,7,0.0691269122156053,14,0.183884350580989,NA,10.631345850014,"PM","PM-DS-CR4-5.tif",83,"sheltered","CR4"
"84",84,0.5741615989843,1.16579814507842,8,0.0550916382646809,15,0.211317465475229,NA,10.1600054037458,"PM","PM-DS-CR4-6.tif",84,"sheltered","CR4"
"85",85,0.462791479878983,0.896068605778425,8,0.060556342313634,11,0.187413263865655,NA,5.81085782111898,"PM","PM-DS-CR4-7.tif",85,"sheltered","CR4"
"86",86,0.563995026548016,1.1381873725627,7,0.0656663446492083,14,0.190395466733187,NA,9.64635498673616,"PM","PM-DS-CR4-8.tif",86,"sheltered","CR4"
"87",87,0.41794401935644,0.851314054760724,8,0.0881712349375271,11,0.210996844892856,NA,5.42885896851566,"PM","PM-DS-CR4-9.tif",87,"sheltered","CR4"
"88",88,0.458722967193123,0.958605634974621,8,0.0603681493600377,13,0.16930324954475,NA,6.99259500634754,"PM","PM-DS-CR5-3.tif",88,"sheltered","CR5"
"89",89,0.323415312699412,0.722632142254222,NA,0.0383649394100544,6,0.169546926391624,0.0515744330375719,4.12154431599011,"PM","PM-DS-SR-1.tif",89,"sheltered","SR"
"90",90,0.360662970173521,0.90199974439752,11,0.0656994453556593,3,0.172951874380396,NA,6.74612885743263,"PM","PM-DS-SR-3.tif",90,"sheltered","SR"
"91",91,0.347747151408224,0.941707468126384,10,0.0971367874559552,4,0.282066535113584,NA,7.55898072525516,"PM","PM-DS-SR-4.tif",91,"sheltered","SR"
"92",92,1.34841861289418,2.23619293378582,12,0.0928835261819264,23,0.264327606225943,0.105697548235285,31.4082994998137,"PM","PM-WW-CR1-2.tif",92,"non-sheltered","CR1"
"93",93,0.60088143679761,1.01563645437275,NA,0.0505400398207961,12,0.242087341337524,0.257582423648242,6.61716417298883,"PM","PM-WW-CR3-1.tif",93,"non-sheltered","CR3"
