"","r_stele","radius","CF","OneC","nX","X_size","aerenchyma","TCA","Accession","id","rep"
"19",0.321142340907499,0.625207597709509,10,0.030406525680201,10.5976972499475,0.0917061212173626,0.1443,0.904,"PI_485104",19,19
"20",0.280397114620312,0.53195628468643,9.5,0.0264799126385387,9.25310478247029,0.0901026003940306,0.0115,0.642,"NSL_6549",20,20
"21",0.369102467191243,0.686134332085071,11.8,0.0268671071943922,12.180381417311,0.101728399694615,0.0367,1.051,"PI_583917",21,21
"22",0.293161507141752,0.530158117452036,9.3,0.0254835064849768,9.67432973567782,0.0917771576692239,0.0523,0.613,"PI_467154",22,22
"23",0.278117425456696,0.534939798182214,8.8,0.0291843605369906,9.17787504007098,0.0832854221353251,0.2151,0.656,"PI_467167",23,23
"24",0.283220923164789,0.537610804071944,10.2,0.0249401844026623,9.34629046443803,0.0904088713362789,0.0237,0.656,"PI_467168",24,24
"25",0.310047715081896,0.568405255496945,9.7,0.0266347979809329,10.2315745977026,0.0856859917322653,0.1562,0.713,"PI_467171",25,25
"26",0.322131996076012,0.59867932304611,11,0.0251406660881907,10.6303558705084,0.0978872552344884,0.0225,0.8,"PI_467177",26,26
"27",0.279259596281003,0.53165701249133,9.9,0.0254946885060936,9.2155666772731,0.0805829135077113,0.0367,0.643,"PI_467262",27,27
"28",0.298541066072092,0.548164694738268,9.1,0.027431167985294,9.85185518037905,0.0880585793916182,0.0188,0.663,"PI_467280",28,28
"29",0.241351836893017,0.460082682039023,8.9,0.0245764994546074,7.96461061746957,0.0848162451211652,0.0259,0.482,"PI_48543",29,29
"30",0.271163389321744,0.523207895695449,9.3,0.0271015598251296,8.94839184761755,0.0817770597256637,0.0329,0.629,"PI_485690",30,30
"31",0.306952319278422,0.594142797463559,10.7,0.0268402316060876,10.1294265361879,0.087564394173308,0.0679,0.813,"PI_467216",31,31
"32",0.350070430314757,0.673728356014563,12,0.0269714938083171,11.552324200387,0.0915223517776201,0.111,1.041,"PI_467225",32,32
"33",0.283220923164789,0.53165701249133,10,0.0248436089326541,9.34629046443803,0.0825316303824369,0,0.636,"PI_467230",33,33
"34",0.23534213434058,0.45973662506487,8.7,0.0257924701981943,7.76629043323914,0.093215080782574,0.0071,0.49,"PI_48533",34,34
"35",0.227081926981814,0.413824502376164,7.3,0.0255811747115547,7.49370359039987,0.0824397753370912,0.083,0.376,"PI_485711",35,35
"36",0.325082885143187,0.625207597709509,10.6,0.0283136521288983,10.7277352097252,0.0857821409930666,0.1062,0.897,"PI_444266",36,36
"37",0.236690810908128,0.437747131895392,8.5,0.0236536848220311,7.81079675996822,0.0875298772788336,0.0296,0.425,"PI_583749",37,37
"38",0.312094256871606,0.58794943353625,10.2,0.0270446251632004,10.299110476763,0.0839445738577961,0.016,0.781,"PI_583750",38,38
"39",0.301722765877161,0.580320480064637,9.9,0.0281411832512602,9.95685127394631,0.0846229308620557,0.0396,0.772,"PI_583751",39,39
"40",0.283220923164789,0.561644992150857,10.4,0.0267715450948143,9.34629046443803,0.081702145708124,0.0799,0.739,"PI_583752",40,40
"41",0.291528282694959,0.526241010355424,8.7,0.0269784744437316,9.62043332893366,0.0883657052714489,0.1313,0.602,"PI_443781",41,41
"42",0.233304501751313,0.428932528743427,7.9,0.0247630413914069,7.69904855779331,0.0760800084435768,0.0162,0.407,"PI_443963",42,42
"43",0.373389515316781,0.652365172144964,10.1,0.0276213521612063,12.3218540054538,0.0980298874919981,0.128,0.899,"PI_444005",43,43
"44",0.285459858584443,0.539679113787229,8.3,0.0306288259280464,9.42017533328663,0.0788505055339319,0.1019,0.659,"PI_444095",44,44
"45",0.244626774091784,0.507143360438154,9.7,0.0270635656027185,8.07268354502887,0.077417277310903,0.1026,0.62,"PI_444125",45,45
"46",0.279259596281003,0.563907418197001,10.4,0.0273699828765382,9.2155666772731,0.0788497450342763,0.1188,0.754,"PI_444165",46,46
"47",0.279828933459734,0.541151637980601,9.4,0.0278002877149858,9.23435480417124,0.0787694907368808,0.0815,0.674,"PI_444173",47,47
"48",0.289885856765246,0.564189583547756,10.2,0.0268925222335794,9.56623327325312,0.093725236206569,0.0915,0.736,"PI_584439",48,48
