"","Genotype","Treatment","Roottype","Type","Filename","Root area","Metaxylem number","Total Metaxylem area","Cortical cell size","Cortical file number","Stele area","Cortex area","Aerenchyma area","Aerenchyma percent","RXA","TSA","TCA","AA","aerenchyma","radius","r_stele","MXA","nX","X_size","CF","OneC","OC","ratio","nPX","PXA_1","k_protxyl_s","kx_unM","LMXA","LMXA_1","k_Mxyl_s","kx_M","m_CF","m_OC","m_aerenchyma","id","model_RXA","model_TSA","model_XVA","model_AA","Kx","Kr1","Kr2","Kr3","kr1_new","kr2_new","kr3_new"
"220","GBL","non-sheltered","CR2","Landrace","GBL-WW-CR2-6.tif",17.9700471990565,15,0.549257430456641,0.0041283991293941,16,4.47522408754402,13.4948231115124,0.914705150432547,6.77819296239765,17.9700471990565,4.47522408754402,13.4948231115124,0.914705150432547,0.0677819296239765,2.39166128008316,1.19352757402294,0.549257430456641,15,0.21592225154702,16,0.0748833566287633,0.0725013174224771,6.06596106127672,90.9894159191507,683.331794309474,0.802614762654058,1.46058896923961,0.549257430456641,36617.1620304428,2304.6938913645,692.868756378588,12.5,0.0716059110020947,0.0811774624551921,220,17.4969259651006,4.65898219627825,0.471642791892809,0.87055241717393,511.567151673606,7.35073308646333e-05,4.80967467317186e-05,4.62373562969054e-05,4.89160198311655e-05,3.20063507852827e-05,3.07690050904608e-05
"221","GBL","non-sheltered","CR4","Landrace","GBL-WW-CR4-3.tif",18.1593142772008,16,0.754441892005665,0.00777326010640087,8,4.73370152678171,13.4256127504191,3.87882942514605,28.8912655031329,18.1593142772008,4.73370152678171,13.4256127504191,3.87882942514605,0.288912655031329,2.40422321358718,1.22751130105508,0.754441892005665,16,0.245023627828321,8,0.147088989066514,0.0994847835549831,5.84520266291665,93.5232426066664,686.920918167767,0.811068193483726,1.51707454859458,0.754441892005665,47152.6182503541,3821.6905010726,1224.45803489183,10.8333333333333,0.0878106215289254,0.156299140170473,221,17.288247757579,5.13326451180111,0.649039512798389,3.57918747315225,908.316288428301,6.85405723268714e-05,4.74648587462168e-05,4.65193591072345e-05,4.53725379013091e-05,3.14208217021071e-05,3.07949191636689e-05
"222","GBL","non-sheltered","CR4","Landrace","GBL-WW-CR4-6.tif",18.2589501704977,15,0.546447785194485,0.0103495377907029,13,3.63697197536644,14.6219781951312,1.94266269166007,13.2859088266657,18.2589501704977,3.63697197536644,14.6219781951312,1.94266269166007,0.132859088266657,2.41080989516109,1.07595731120362,0.546447785194485,15,0.215369284291356,13,0.102680967996728,0.114793034565926,5.48155847488947,82.2233771233421,688.802827188882,0.815518334207588,1.34109343089101,0.546447785194485,36429.852346299,2281.17555548331,685.693760075884,10.8333333333333,0.0878106215289254,0.156299140170473,222,19.280153506942,3.91253018637545,0.473606632630487,2.027897123109,515.622037393408,5.81800634602041e-05,3.96395219548506e-05,3.86921385396809e-05,3.84088546661326e-05,2.61689064474851e-05,2.55434703488935e-05
"223","GBL","non-sheltered","CR4","Landrace","GBL-WW-CR4-5.tif",18.6085443799121,15,0.566782622497573,0.00330302713792433,11,3.93199015879668,14.6765542211155,1.51930253757473,10.3519021882458,18.6085443799121,3.93199015879668,14.6765542211155,1.51930253757473,0.103519021882458,2.43377970318101,1.11874543124089,0.566782622497573,15,0.2193399261774,11,0.119548570176375,0.0648501716986059,5.69424395688803,85.4136593533205,695.365629480289,0.831132621154434,1.41980157161434,0.566782622497573,37785.5081665048,2454.11224117667,737.653473924616,10.8333333333333,0.0878106215289254,0.156299140170473,223,19.6627032768609,4.19805538522826,0.490725972126793,1.5852784129271,554.152400260925,6.36999174615926e-05,4.28059679176234e-05,4.1889993940386e-05,4.16560164640513e-05,2.79925967786582e-05,2.73936034267524e-05
"224","GBL","non-sheltered","CR2","Landrace","GBL-WW-CR2-9.tif",18.6204177161718,24,0.412331961398739,0.00151115319495856,15,6.58876088701182,12.03165682916,0.49564921962535,4.11954252571508,18.6204177161718,6.58876088701182,12.03165682916,0.49564921962535,0.0411954252571508,2.43455602604033,1.44819464438899,0.412331961398739,24,0.147901622541681,15,0.0657574254434231,0.0438641084028175,4.58239136190179,109.977392685643,695.587436011524,0.831662932224763,1.82928241758752,0.412331961398739,17180.4983916141,507.359040674375,245.361621941288,12.5,0.0716059110020947,0.0811774624551921,224,19.1052580068692,6.72252856738117,0.352421923260966,0.511424503481577,178.265035284136,9.21574479199469e-05,5.86898201746997e-05,5.57386247776775e-05,6.02463579490878e-05,3.83674677849584e-05,3.64381741871025e-05
"225","GBL","non-sheltered","CR2","Landrace","GBL-WW-CR2-2.tif",18.8824448188406,19,0.745754068996929,0.00488582791487571,0,4.77842323025441,14.1040215885862,1.53983904534508,10.9177303485639,18.8824448188406,4.77842323025441,14.1040215885862,1.53983904534508,0.109177303485639,2.45162575878882,1.23329613417065,0.745754068996929,19,0.223550720877723,12.5,0.0974663699694537,0.0788722340877365,4.94497682967176,93.9545597637635,700.464502511091,0.843366119116139,1.58476184882461,0.745754068996929,39250.2141577331,2648.06077649969,1007.84785691871,12.5,0.0716059110020947,0.0811774624551921,225,18.9051470531167,4.9725957892937,0.640112624166716,1.53544195387064,743.301725586889,7.1210483460707e-05,4.76751657694528e-05,4.62523500043975e-05,4.62285093966964e-05,3.09498228582919e-05,3.00261575667773e-05
"226","GBL","non-sheltered","CR1","Landrace","GBL-WW-CR1-1.tif",19.0415071346392,25,0.600903458947262,0.00524721279966987,14,6.44182215413802,12.5996849805012,0.931743120729136,7.39497155818632,19.0415071346392,6.44182215413802,12.5996849805012,0.931743120729136,0.0739497155818632,2.46193013077034,1.43195519367748,0.600903458947262,25,0.17493930907601,14,0.0735696383637758,0.0817371325419493,4.3506631696237,108.766579240593,703.408608791525,0.85047048347466,1.85005530465263,0.600903458947262,24036.1383578905,993.05494335724,498.377526983272,13,0.0782511470794924,0.063324565835012,226,18.6680371963738,6.71660720295086,0.515479882338961,0.870947397958667,366.071817529427,9.32337806758835e-05,5.97717158611159e-05,5.69774784613834e-05,6.02722915335924e-05,3.86402681273666e-05,3.6833893978964e-05
"227","GBL","non-sheltered","CR1","Landrace","GBL-WW-CR1-1.tif",19.0415071346392,25,0.600903458947262,0.00524721279966987,14,6.44182215413802,12.5996849805012,0.931743120729136,7.39497155818632,19.0415071346392,6.44182215413802,12.5996849805012,0.931743120729136,0.0739497155818632,2.46193013077034,1.43195519367748,0.600903458947262,25,0.17493930907601,14,0.0735696383637758,0.0817371325419493,4.3506631696237,108.766579240593,703.408608791525,0.85047048347466,1.85005530465263,0.600903458947262,24036.1383578905,993.054943357239,498.377526983272,13,0.0782511470794924,0.063324565835012,227,18.6676060174771,6.71893000552261,0.514876307157479,0.87998405689743,365.166316608774,9.30618722567735e-05,5.97066340666078e-05,5.69149513485327e-05,6.01611589132206e-05,3.85981950840588e-05,3.67934724456188e-05
"228","BS","non-sheltered","CR1","Landrace","BS-WW-CR1-3.tif",19.9378038061382,40,0.388780501368385,0.00290728226282765,13,6.59202181289778,13.3457819932404,1.2077920152684,9.0499905953817,19.9378038061382,6.59202181289778,13.3457819932404,1.2077920152684,0.090499905953817,2.51920623615586,1.44855297210166,0.388780501368385,40,0.111244180585345,13,0.0823579433887847,0.0608413243177636,2.7501027399975,110.0041095999,719.773210330247,0.890502706667737,1.95917914686571,0.388780501368385,9719.51253420961,162.380119042945,131.863274381222,13.6666666666667,0.0634711910023826,0.0848226154543805,228,20.7266031401697,6.84991181449151,0.333472893007043,1.24808454025455,95.8471618783179,8.47633397035598e-05,5.58635628795156e-05,5.36676686785503e-05,5.35506157184838e-05,3.52927126147751e-05,3.3905420810021e-05
"229","GBL","non-sheltered","CR4","Landrace","GBL-WW-CR4-4.tif",20.1366992741342,16,1.07146032946339,0.00631431260334749,12,4.07593349342154,16.0607657807126,2.94894229246665,18.3611562034485,20.1366992741342,4.07593349342154,16.0607657807126,2.94894229246665,0.183611562034485,2.53174059770484,1.13903903637396,1.07146032946339,16,0.292000177877488,12,0.11605846344424,0.0896639978163011,5.43292190950264,86.9267505520422,723.354456487097,0.899386180209585,1.56361436274065,1.07146032946339,66966.270591462,7708.25572046874,2468.20544491274,10.8333333333333,0.0878106215289254,0.156299140170473,229,19.0290329983912,4.18802619979575,0.958080936217167,2.70334105636341,1981.42372116049,6.27043981927113e-05,4.30674811439783e-05,4.21243376440291e-05,3.94183943450591e-05,2.70738736693445e-05,2.64809774216088e-05
"230","BS","non-sheltered","CR2","Landrace","BS-WW-CR2-1.tif",20.2344794107077,19,0.279221597269884,0.0071326408162079,16,5.97294517644595,14.2615342342618,1.91121622399234,13.4011964813776,20.2344794107077,5.97294517644595,14.2615342342618,1.91121622399234,0.134011964813776,2.53787998892986,1.37885731651122,0.279221597269884,19,0.136789500094918,16,0.0724389170261648,0.0952972210800923,5.51618955363562,104.807601519077,725.108568265674,0.903753435355825,1.8944045984854,0.279221597269884,14695.8735405202,371.222848993419,142.959087215985,14.5,0.0885703461670445,0.143464067438191,230,19.7514709248055,6.17618891526826,0.240036375487861,1.83157039021349,104.650006153696,8.15595910251195e-05,5.39404667645272e-05,5.16607915854077e-05,5.114746215275e-05,3.38270208036061e-05,3.23973961760296e-05
"231","BS","non-sheltered","CR2","Landrace","BS-WW-CR2-2.tif",21.3142784990836,17,0.426547444253534,0.00526087476202057,13,7.50406906385555,13.810209435228,2.11180433459753,15.2916170062605,21.3142784990836,7.50406906385555,13.810209435228,2.11180433459753,0.152916170062605,2.60471602351061,1.54551589109629,0.426547444253534,17,0.178736920332537,13,0.0814769332626396,0.0818434712539966,6.89609793177291,117.23366484014,744.204578145888,0.951981616363406,2.23208587493444,0.426547444253534,25091.0261325608,1082.13322786885,370.157383350344,14.5,0.0885703461670445,0.143464067438191,231,22.0530841883708,7.73630023701459,0.364744654393587,2.1661284683835,270.330424398531,8.62810313490982e-05,5.77970263083153e-05,5.54688525872906e-05,5.27199606802736e-05,3.5315490632959e-05,3.38929157620972e-05
"232","GBL","non-sheltered","CR2","Landrace","GBL-WW-CR2-1.tif",21.5939222640255,20,1.04708775681188,NA,NA,6.79411674563522,14.7998055183903,2.99326328709438,20.2250177096919,21.5939222640255,6.79411674563522,14.7998055183903,2.99326328709438,0.202250177096919,2.62174730630615,1.47058985717383,1.04708775681188,20,0.258185353843021,12.5,0.0920925959305862,0.0716059110020947,5.58235898754402,111.64717975088,749.070658944616,0.964471634421807,2.15361075865834,1.04708775681188,52354.3878405939,4711.40088272393,1886.71396384823,12.5,0.0716059110020947,0.0811774624551921,232,21.5666479001135,6.98513681773101,0.892210357977715,2.92818215412767,1371.89356134959,7.87472734977471e-05,5.39633424619186e-05,5.21442591362493e-05,4.78040648769997e-05,3.27588119492558e-05,3.16545251155097e-05
