"","Accession","Kr1","kr1","Kr2","kr2","Kr3","kr3","Kx","n"
"36","PALOME",0.00061833843859669,0.000131070980136271,0.00026509457956181,5.61928617131341e-05,0.000238680856649113,5.05938687747812e-05,7.78707741387552,3
"37","PI_213706",0.000555704838165256,0.000159993975349176,0.000216804686680175,6.24206256883053e-05,0.000191932228177509,5.52595516086055e-05,7.48187393669769,2
"38","PI_217404",0.000530579290181938,0.000151347738169967,0.000210965712410934,6.01779677338364e-05,0.000188281072794742,5.37071744694892e-05,4.41191296274759,3
"39","PI_218180",0.000553128646295129,0.000136536771824383,0.00022679091789798,5.59820938877153e-05,0.000203559816321339,5.02476239114369e-05,9.46360674750725,3
"40","PI_218186",0.000543190472469774,0.000158130052708189,0.000211506154567897,6.15722864538808e-05,0.000187627576413825,5.4620911174908e-05,6.88034372435363,3
"41","PI_221881",0.000552078796704629,0.000135195013777286,0.000229643898413647,5.62360123142229e-05,0.000205786219908726,5.03936593866703e-05,11.3610963560534,3
"42","PI_221888",0.000631361826617897,0.000146055495953313,0.000259366382341967,6.00002787775428e-05,0.000230745995854538,5.337940851494e-05,15.6894723035321,2
"43","PI_222609",0.000403063325729452,0.000152486345493071,0.000152142270689886,5.75582479763751e-05,0.000135864126115194,5.13999234175472e-05,1.90288468312506,3
"44","PI_234767",0.000481038583489635,0.000124290190099242,0.00020196743582078,5.21841113241222e-05,0.000182310393726256,4.71051476347785e-05,8.06541387189257,3
"45","PI_235282",0.000450418238011911,0.00013275879397977,0.000184381000964165,5.43454888257394e-05,0.000165865952397147,4.88882597200006e-05,7.95958942229317,3
"46","PI_240318",0.000453897035460866,0.000155847746820744,0.000179658713767584,6.16866900418543e-05,0.000159221207629271,5.46693732641471e-05,13.0643980297536,3
"47","PI_275835",0.000529641682512991,0.000139264223723507,0.00021811840780637,5.73521528721757e-05,0.000194981501322311,5.12685242091563e-05,7.45899438861836,3
"48","PI_311229",0.000586281879970485,0.000136177554137541,0.000249523384396174,5.79575889142325e-05,0.000223565275638193,5.19282165569011e-05,24.8614732870774,2
"49","PI_360877",0.000543399753511982,0.000124663297256333,0.000229387178687772,5.26245399611037e-05,0.000207386800885286,4.75773539437798e-05,7.38863827866546,3
